name,genre
Biggles: Adventures in Time,Adventure
Half Moon Street,Drama
Every Time We Say Goodbye,Drama
The Decline of the American Empire,Comedy
Hardbodies 2,Comedy
The Boy in Blue,Biography
Brighton Beach Memoirs,Comedy
The Longshot,Comedy
Willy/Milly,Comedy
Ginger and Fred,Comedy
'Round Midnight,Drama
Violets Are Blue...,Drama
Parting Glances,Drama
The Whoopee Boys,Comedy
Tai-Pan,Adventure
My Little Pony: The Movie,Animation
Playing for Keeps,Comedy
"'night, Mother",Drama
Jake Speed,Action
The Naked Cage,Action
Blue City,Action
That's Life!,Comedy
Sky Bandits,Action
Ménage,Comedy
Dream Lover,Crime
Dangerously Close,Action
The Whistle Blower,Thriller
Care Bears Movie II: A New Generation,Animation
Knights of the City,Action
Born American,Action
Desert Bloom,Drama
Touch and Go,Comedy
Man Facing Southeast,Drama
Nutcracker,Family
The Fringe Dwellers,Drama
Just Between Friends,Drama
Oviri,Biography
P.O.W. the Escape,Action
Armed Response,Action
Duet for One,Drama
Bullies,Action
Native Son,Drama
The Assault,Drama
Nobody's Fool,Comedy
Alien Predator,Drama
Low Blow,Action
A Man and a Woman: 20 Years Later,Drama
The Princess Bride,Adventure
The Lost Boys,Comedy
Full Metal Jacket,Drama
Predator,Action
RoboCop,Action
Dirty Dancing,Drama
Adventures in Babysitting,Adventure
The Untouchables,Crime
Spaceballs,Adventure
Raising Arizona,Comedy
Lethal Weapon,Action
Near Dark,Action
Mannequin,Comedy
Masters of the Universe,Action
Fatal Attraction,Drama
Hellraiser,Horror
Empire of the Sun,Action
No Way Out,Action
The Witches of Eastwick,Comedy
Some Kind of Wonderful,Drama
The Running Man,Action
Black Widow,Crime
Angel Heart,Horror
Moonstruck,Comedy
Jaws: the Revenge,Adventure
Wall Street,Crime
"Good Morning, Vietnam",Biography
A Nightmare on Elm Street 3: Dream Warriors,Fantasy
"Planes, Trains & Automobiles",Comedy
Can't Buy Me Love,Comedy
Overboard,Comedy
Beverly Hills Cop II,Action
Superman IV: The Quest for Peace,Action
The Secret of My Success,Comedy
Withnail & I,Comedy
Evil Dead II,Comedy
Summer School,Comedy
Innerspace,Action
The Living Daylights,Action
Over the Top,Action
The Last Emperor,Biography
Less Than Zero,Crime
Three Men and a Baby,Comedy
La Bamba,Biography
Revenge of the Nerds II: Nerds in Paradise,Comedy
The Monster Squad,Action
Prince of Darkness,Horror
Wings of Desire,Drama
Maurice,Drama
Broadcast News,Comedy
Harry and the Hendersons,Comedy
Creepshow 2,Fantasy
Police Academy 4: Citizens on Patrol,Comedy
The Stepfather,Horror
My Best Friend Is a Vampire,Comedy
Flowers in the Attic,Drama
*batteries not included,Comedy
Roxanne,Comedy
Dragnet,Comedy
Throw Momma from the Train,Comedy
Amazon Women on the Moon,Comedy
Teen Wolf Too,Comedy
Baby Boom,Comedy
